Timestamp,Bitcoin,Ethereum,Solana,Dogecoin
2025-12-31 12:06:37,0,0,0,0
2025-12-31 12:07:07,88454.74,2974.29,125.76,0.1229
2025-12-31 12:07:39,88445.29,2974.29,125.76,0.1229
2025-12-31 12:20:35,88396.3,2972.13,125.79,0.1229
